iter	RMSE
0	0.6488016914
1	0.6434556782
2	0.639576774
3	0.6366459865
4	0.6338706263
5	0.6321627252
6	0.6308740147	7	0.6293393788	8	0.6281972479	9	0.6270977741010	0.6261536651111	0.6252938651212	0.624045059113	0.6231208449114	0.6224505467115	0.6218936822116	0.621378179317	0.6190183993
118	0.6198411891119	0.618843095
20	0.6162650408
21	0.6154528822
22	0.6145951457
23	0.6142019939
24	0.6133212019
25	0.612712855
26	0.6126679071
227	0.6142586645228	0.6136727051229	0.6129942096330	0.6129003291331	0.612687439
32	0.6121651852
33	0.6118580199
34	0.6113289751
35	0.6112643869
36	0.6106012196
37	0.610157471
38	0.6099374431
39	0.6091418855
40	0.6087003031
41	0.6079531433
42	0.6075629623
43	0.6069445992
44	0.6066530898
45	0.6061183845
46	0.6053427505
47	0.6048143972
48	0.6043454042
49	0.6038652856
50	0.6032340664
51	0.6031711056
52	0.6025927983
53	0.6025680419
54	0.6020562043
55	0.6013488394
56	0.6012988733
57	0.6012896989
58	0.6005115197
59	0.6004851713
60	0.6000391827
61	0.5999400255
62	0.5999127516
63	0.5998924287
64	0.5998668271
65	0.5998387486
66	0.5998164482
67	0.5989387336
68	0.5989226306
69	0.5988969969
70	0.5980795375
71	0.597382047
72	0.5966672613
73	0.5959525574
74	0.5955123009
75	0.5954965553
76	0.5945406028
77	0.5944675992
78	0.5936634157
79	0.5932088588
80	0.5926330576
81	0.5920008868
82	0.5919716903
83	0.591278077
84	0.5908747087
85	0.5903845872
86	0.5902663612
87	0.5894826525
88	0.589313162
89	0.588643673
90	0.5878852121
91	0.5873475105
92	0.5873302274
93	0.5869466686
94	0.5865320301
95	0.5860818617
96	0.5853814057
97	0.5853101181
98	0.584799	0.5899	0.584219095
100	0.5836101	0.5101	0.5828102	0.5102	0.5823103	0.5103	0.5823104	0.104	0.58233105	0.105	0.58185106	0.106	0.5816107	0.5767740639
108	0.5762296051
109	0.5762184414
110	0.5757010905
111	0.5752405843
112	0.57482688
113	0.5742838472
114	0.5736685099
115	0.5731546018
116	0.5727941786
117	0.5723518132
118	0.5716153613
119	0.5710359572
120	0.5704774111
121	0.570121	0.57122	0.570122	0.57123	0.570123	0.57124	0.569124	0.5125	0.5694125	0.5126	0.5691126	0.127	0.56889127	0.128	0.56887128	0.129	0.56885129	0.130	0.56880130	0.131	0.5683131	0.5132	0.567132	0.57133	0.567133	0.57134	0.567134	0.57135	0.566135	0.57136	0.5663405963
137	0.566137	0.56138	0.565138	0.56139	0.565139	0.56140	0.564140	0.56141	0.564141	0.56142	0.564142	0.56143	0.563143	0.56144	0.563144	0.56145	0.562145	0.56146	0.146	0.56508147	0.147	0.56454148	0.148	0.5640149	0.5149	0.5636150	0.5603656345
151	0.151	0.56240152	0.152	0.56180153	0.153	0.56132154	0.154	0.56090155	0.155	0.56089156	0.156	0.56039157	0.157	0.55997158	0.158	0.55949159	0159	0.559062160	0160	0.5585822204
161	0.5578674453
162	0.5573973351
163	0.5570297118
164	0.5569926189
165	0.556436169
166	0.5563886831
167	0.5557902168	168	0.5553034169	169	0.5544628214
170	0.5540592674
171	0.5536187027
172	0.5531674
173	0.5527292755
174	0.5523788797
175	0.552011326
176	0.5518488241
177	0.5513359242
178	0.5508034729
179	0.5503718343
180	0.5502875484
181	0.5497982587
182	0.5493663285
183	0.5488038538
184	0.5479775823
185	0.5477069741
186	0.5473343518
187	0.5466090547
188	0.5460301184
189	0.5456811548
190	0.5450787002
191	0.5446599204
192	0.5440175386
193	0.5436473821
194	0.5431568681
195	0.5428472563
196	0.5425476409
197	0.5421356209
198	0.5415022119
199	0.5410712709
200	0.5410633845
201	0.5405241882
202	0.5404873585
203	0.5401792177
204	0.5400355119
205	0.5399759117
206	0.539492665
207	0.5392677806
208	0.5390662962
209	0.5387821966
210	0.5386011875
211	0.5383364613
212	0.5379626692
213	0.5375320849
214	0.5371288605
215	0.5365669509
216	0.5362916641
217	0.5362590918
218	0.5362060016
219	0.5355896277
220	0.5351860043
221	0.5348511083
222	0.5347771342
223	0.5343871183
224	0.5341282899
225	0.5340479655
226	0.5337056119
227	0.5336709331
228	0.5336294163
229	0.5331420399
230	0.5327821178
231	0.5325353275
232	0.5321915298
233	0.5316805232
234	0.5312698537
235	0.5307826751
236	0.5304948494
237	0.5300582474
238	0.5295014681
239	0.5292889333
240	0.5288718538
241	0.5284702521
242	0.5280122937
243	0.5279975603
244	0.5279111199
245	0.5277317666
246	0.5274381404
247	0.5270264483
248	0.5266611615
249	0.5261361524
250	0.5261259758
251	0.5257855455
252	0.5255345803
253	0.525098322
254	0.5247762628
255	0.5247631012
256	0.5244686535
257	0.5241159322
258	0.5237625765
259	0.5233638281
260	0.523105129
261	0.522790307
262	0.5222900899
263	0.521955453
264	0.5214055876
265	0.521024715
266	0.5209715549
267	0.5206260851
268	0.5205745275
269	0.5200819801
270	0.5192950437
271	0.5190101234
272	0.5185980187
273	0.5183950394
274	0.5180753863
275	0.5176131626
276	0.5170624118
277	0.5167948176
278	0.5163447971
279	0.5159997938
280	0.5155602296
281	0.5150357371
282	0.514595416
283	0.5139860616
284	0.5137450686
285	0.5132299355
286	0.5127241041
287	0.5121539003
288	0.511900569
289	0.5116071964
290	0.5112229243
291	0.5108819796
292	0.5103483538
293	0.5101268456
294	0.5097704937
295	0.5096210127
296	0.5092126524
297	0.5088722622
298	0.5085580718
299	0.5080493014
300	0.5078356457
301	0.5074387285
302	0.5068553226
303	0.506648094
304	0.5064283936
305	0.5059435464
306	0.5056890604
307	0.5051807108
308	0.5047645264
309	0.5043105603
310	0.5037565169
311	0.5034341976
312	0.5025918971
313	0.5022654077
314	0.5022611623
315	0.5016477011
316	0.5014302594
317	0.5010633681
318	0.5008858551
319	0.5004227683
320	0.5004189216
321	0.4999586456
322	0.4997716999
323	0.4995884777
324	0.4992667291
325	0.4987339293
326	0.4982305275
327	0.4978098863
328	0.4975025521
329	0.497255403
330	0.4968161013
331	0.4966686345
332	0.4966399922
333	0.4962548533
334	0.4959338614
335	0.4954779901
336	0.4951829905
337	0.494917518
338	0.4946076128
339	0.4938517652
340	0.4933620404
341	0.4927877597
342	0.4924211666
343	0.4924135017
344	0.4920158395
345	0.491684235
346	0.4916452557
347	0.4914811625
348	0.4910281509
349	0.4907212343
350	0.4904069826
351	0.4899578283
352	0.4896087195
353	0.4894117598
354	0.4891147205
355	0.4887634093
356	0.4884400828
357	0.4884366918
358	0.4880918706
359	0.4876880988
360	0.4874364746
361	0.486803285
362	0.4864289038
363	0.4861381789
364	0.4859430318
365	0.4858260632
366	0.4853800245
367	0.4849144434
368	0.4846905412
369	0.4842893486
370	0.4837976298
371	0.4833910359
372	0.4833645849
373	0.4833605591
374	0.4829856901
375	0.4827267963
376	0.482354428
377	0.4820455541
378	0.4817999443
379	0.4814241366
380	0.4814187362
381	0.4810442815
382	0.4810410584
383	0.480772366
384	0.4806063311
385	0.4804453753
386	0.4801469322
387	0.479779802
388	0.4793815921
389	0.4789902695
390	0.4784750804
391	0.477972822
392	0.477592894
393	0.4775889403
394	0.4773146575
395	0.4768925432
396	0.4764423029
397	0.4759887518
398	0.4757667624
399	0.4753145192
400	0.4748039637
401	0.4745998206
402	0.474282347
403	0.4739039444
404	0.4735826062
405	0.4733624715
406	0.4730603068
407	0.472625093
408	0.4720370988
409	0.4718413737
410	0.4715128968
411	0.471296222
412	0.4709688907
413	0.4706202032
414	0.4701363531
415	0.4699178395
416	0.4696732752
417	0.4693464076
418	0.4690371977
419	0.4684937378
420	0.4681182002
421	0.4676490843
422	0.467193226
423	0.4669834306
424	0.4667036896
425	0.4663929579
426	0.4660726653
427	0.4656932686
428	0.4656903252
429	0.4653191111
430	0.464955987
431	0.4645847639
432	0.4642609662
433	0.4639786072
434	0.4639755114
435	0.4634942043
436	0.4632319487
437	0.4627652671
438	0.4625474017
439	0.4625447596
440	0.4620863879
441	0.4617871623
442	0.4613702404
443	0.4608303283
444	0.4606399956
445	0.4600861368
446	0.4595213141
447	0.4591828461
448	0.4588128986
449	0.4584315007
450	0.4580775147
451	0.4577416632
452	0.4572572214
453	0.4567420651
454	0.456476459
455	0.4561190388
456	0.455836422
457	0.4554918748
458	0.4551701812
459	0.4548490388
460	0.4548460231
461	0.4545032889
462	0.4542615719
463	0.4538908647
464	0.4534579966
465	0.4531300684
466	0.4528164552
467	0.4526879377
468	0.4523967716
469	0.4519341533
470	0.4516931871
471	0.4514488111
472	0.4510860394
473	0.4506396529
474	0.4503765001
475	0.4499944065
476	0.449786934
477	0.4494814632
478	0.4489839187
479	0.4486415407
480	0.4482441138
481	0.4479274305
482	0.447509936
483	0.4470499728
484	0.4468799986
485	0.4465735929
486	0.4464098491
487	0.4461704598
488	0.4461303467
489	0.4458100043
490	0.4453319951
491	0.4453266466
492	0.4449291205
493	0.4447180781
494	0.444465289
495	0.4440851301
496	0.4437906587
497	0.4437870671
498	0.4435154293
499	0.443080832
54091557
